RRID	Resource Name	total mention count
8041	Institute of Experimental Medicine of the Hungarian Academy of Sciences: Laboratory of Cerebral Cortext Reserach	325
12131	LDx	325
12526	Dao Laboratories	324
5756	American Cancer Society	320
11192	Dublin City University; Dublin; Ireland	320
4137	CCLG	319
4922	Cliniques Universitaires Saint-Luc Cancer Centre	319
10207	Wistar Imaging Facility	318
10605	University of California at San Francisco; California; USA	318
1397	Online Neuroscience Lectures - Maintained by the Kilgard Lab	317
6547	Office of Extramural Research NIH	317
3527	MRC Laboratory of Molecular Biology	316
3368	Harvard University Neurobiology	315
3804	WebCite	315
4179	Friedrich Miescher Institute	315
11645	University of Glamorgan; South Wales; United Kingdom	315
522	Evidence-Based Medicine Librarian	314
12923	Newcastle University; Newcastle upon Tyne; United Kingdom	314
11116	Bielefeld University; North Rhine-Westphalia; Germany	313
2743	Emotion Mining Company, Inc.	312
1015	FUSIM	311
3803	Telethon Foundation	311
7070	American Journal of Psychiatry Podcasts	311
11104	Autonomous University of Barcelona; Barcelona; Spain	311
12796	Macquarie University; Sydney; Australia	311
3929	ENEA	309
11430	National Institute of Environmental Health Sciences	309
8016	Archives of General Psychiatry	308
1118	FluView: A Weekly Influenza Surveillance Report	307
3972	Arbor Research Collaborative for Health	307
11175	CSIR-Institute of Genomics and Integrative Biology; Delhi; India	307
12386	Penn State Materials Characterization Lab	307
1814	Kindai University; Osaka; Japan	306
10301	Current Procedural Terminology	305
11413	National Heart Lung and Blood Institute	305
13351	MAOS	304
1456	BD FACSDiva Software	303
1942	University of California at San Diego, School of Medicine: Graduate Opportunities & Dual Degree Programs	303
3736	Charles Stark Draper Laboratory	303
10720	Donor Sibling Registry	302
12156	MED-PC	302
13220	genCAT	302
2775	Scanalytics IPLab	301
7338	Vascular Therapies	301
11337	Lawrence Livermore National Laboratory	301
6259	BenchFly	299
11102	ATR; Kyoto; Japan	299
6403	MEGA-MD	298
1742	Hanchuan Peng Shared Software	297
6375	Flycircuit	297
11661	University of Illinois at Urbana-Champaign; Illinois; USA	297
3484	Morehouse School of Medicine Neuroscience Institute	296
5747	Hvidovre Hospital; Hvidovre; Denmark	296
10487	Public Use Microdata Sample for the Older Population	296
11634	University of Dundee School of Medicine; Scotland; United Kingdom	296
12905	U.S. Social Security Administration	295
11261	Hadassah Medical Center; Jerusalem; Israel	294
342	University of Zurich; Zurich; Switzerland	293
4031	Ben-Gurion University of the Negev; Beer-Sheva; Israel	293
6661	Cooperative Human Tissue Network Western Division at Vanderbilt University Medical Center	293
6671	British Columbia Breast Cancer Tumour Bank	293
12731	Emerald Bio	293
5463	sfnvideo - YouTube	292
12861	EQUATOR Network	292
7240	California Institute for Regenerative Medicine	291
11141	Catholic University of Louvain; Louvain-la-Neuve; Belgium	291
11325	Japanese Ministry of Education Culture Sports Science and Technology (MEXT)	291
2185	MEDLINE	290
4080	Neurophysiology Imaging Facility	290
11339	La Trobe University; Victoria; Australia	289
900	CDC Toxprofiles	287
2361	Relevance Voxel Machine	287
3981	Dialysis Patient Citizens	287
6248	Human Life-Table Database	287
1417	BioMEMS Resource Center	286
4774	Division of cancer treatment	286
7352	Activ 2000	286
8760	DWD	285
5703	Research at Cincinnati Childrens	284
5873	Terry Fox Foundation	284
11211	European Commission	284
11327	Japan Science and Technology Agency	284
6812	Thompson Center for Autism and Neurodevelopmental Disorders	283
11382	Max Planck Institute of Molecular Physiology; Dortmund; Germany	283
1036	AZ Core Labs	282
6052	University of Massachusetts Amherst; Massachusetts; USA	282
8067	Department of Psychiatry, Turner Laboratory	282
3175	MAUDS	281
4444	Penn Alzheimer's Disease Center	281
4526	American Diabetes Association	279
5649	Bambino	279
956	Biomedical University Campus of Rome; Rome; Italy	275
11155	Clarkson University; New York; USA	275
9011	CARDS Database	274
5355	National AIDS Research Institute	273
11093	Angelo State University; Texas; USA	273
1744	King's College London; London; United Kingdom	270
5698	Stanford Center for Biomedical Informatics Research	270
11407	National center for injury prevention and control	270
4871	International Histocompatibility Cell and DNA Bank	269
8214	ABX Guide	268
8218	Table of Nuclides	268
3794	Chevron Corporation	267
6911	University of Tennessee Memphis School of Medicine Department of Pharmacology	267
11418	National Institute for Health and Welfare; Helsinki; Finland	267
11751	Uppsala University; Uppsala; Sweden	266
11225	Georgia Institute of Technology; Georgia; USA	265
867	Net Station API	264
6019	HCV Sequence Database	264
8840	SMA Foundation	264
5695	Indonesia Family Life Survey	263
27	Multiple Sclerosis Discovery Forum	262
104	National MS Society	262
1979	MADELINE	262
4955	Cover Pages	262
11138	Carnegie Mellon University; Pennsylvania; USA	262
11166	Complutense University of Madrid; Madrid; Spain	262
3641	NIH Toolbox Visual Acuity Test	260
4942	State of Florida Alzheimer's Disease Initiative	259
11184	Dartmouth Medical School; New Hampshire; USA	259
7115	Boston Area Community Health Survey	258
7221	California Institute of Technology; Division of Biology	258
11758	Vassar College; New York; USA	258
12851	NEALS: The Northeast ALS Consortium	258
11312	Institute of Health Carlos III	257
5383	International Society for Biological and Environmental Repositories	256
4149	Kyushu University; Fukuoka; Japan	255
4827	Kings College London Infectious Diseases BioBank	255
6094	University of New South Wales; New South Wales; Australia	255
11722	University of Texas Health Science Center at San Antonio; Texas; USA	255
13698	BEI Resource Repository	255
3637	NIH Toolbox Regional Taste Intensity Test	254
1424	RESBIO	253
4258	START Tumor Bank	253
980	National Cheng Kung University; Tainan; Taiwan	252
1836	Koc University; Istanbul; Turkey	252
3751	Medical Dictionary for Regulatory Activities	252
4707	Blood Borne Pathogens Laboratory	252
8248	Scripps Florida - The Scripps Research Institute	252
11582	Trudeau Institute; New York; USA	251
913	Alaska Climate Research Center	250
1099	Catholic University of Leuven; Flemish Brabant; Belgium	250
4317	Center for Organ Recovery and Education - CORE	250
8889	Alameda County Health and Ways of Living Study	250
11355	Lund University; Lund; Sweden	250
619	ProQuest Dissertations and Theses Global	249
3168	Solas	248
5860	AmerUrological's channel - YouTube	248
10000	ieeg.org	248
11117	Bioinformatics Institute; Singapore; Singapore	248
207	Multiple Myeloma Research Foundation	247
4156	Linkoping University; Linkoping; Sweden	247
5793	Icahn School of Medicine at Mount Sinai; New York; USA	247
8779	Washington University Knight Alzheimer's Disease Research Center	247
12173	NCSU Analytical Instrumentation Facility	246
1533	Kansas State University; Kansas; USA	245
3690	Montgomery-Asberg Depression Rating Scale	245
3991	National Renal Administrators Association	245
441	EthoVision XT	243
5656	Neuromorphometrics	243
11479	OTKA Foundation	242
6612	Treat-NMD	241
7913	SUNY Upstate Neuroscience	241
1514	Diabetic Retinopathy Clinical Research Network	240
8780	Mount Sinai Alzheimer's Disease Research Center	239
833	CHAPLIN	238
983	National Taiwan University; Taipei; Taiwan	238
7920	ResearchCrossroads Funding Opportunities Database	238
8112	University of Sherbrooke Hospital Centre; Quebec; Canada	238
10552	Nature Podcast	238
12183	Richman Chemical	238
373	Tuskegee University; Alabama; USA	237
491	Digital Asset Management System	237
10805	RTG Variant	237
12437	Millis Scientific	237
12897	UK DH	237
990	Pasteur Institute of Lille; Lille; France	236
6711	One Mind for Research	236
11773	Walter and Eliza Hall Institute of Medical Research; Victoria; Australia	236
1132	IBA GmbH	235
5156	Science Careers	235
10856	E-RANGE	235
4026	Hoosier Cancer Research Network	234
12242	UTHSCSA X-ray Crystallography Core Laboratory	234
3947	Almirall	233
4667	Central Biomaterial Bank - German Heart Failure Network	233
7536	University of Toronto Toronto Ontario Canada Pharmacology and Toxicology	233
9606	MazeSuite	233
3163	Phoenix	232
3416	Childrens Hospital of Philadelphia - Research Institute; Pennsylvania; USA	232
3899	Olink Bioscience	232
4214	Canadian Breast Cancer Foundation Tumor Bank	232
8017	Bioinformatic Harvester IV (beta) at Karlsruhe Institute of Technology	232
10445	Veterans Health Administration National Drug File	232
11360	Maisonneuve-Rosemont Hospital; Quebec; Canada	232
2535	RT Image	231
11451	Netherlands Genomics Initiative	231
432	RStudio	230
3149	NIH Human Pluripotent Stem Cell Registry	230
3229	Mobile Assay	230
8004	Biological Expression Language Framework	230
10482	COBRE	230
10600	American Society for Cell Biology	230
12334	UC Davis Host-Microbe Systems Biology Core	230
950	Academia Sinica; Taipei; Taiwan	229
5759	PePr	229
7209	National Institutes of Neurological Disorders and Stroke Research Programs	229
11378	Max Planck Institute for Medical Research; Heidelberg; Germany	229
803	CPCTR: Cooperative Prostate Cancer Tissue Resource	228
2400	University of Angers; Angers; France	228
5487	mrFAST	228
10641	Brain Observatory	228
11518	Scripps College; California; USA	228
8163	Atlas of Medical Parasitology	227
11727	University of the Pacific School of Pharmacy and Health Sciences	227
13184	RIKEN Tsukuba Institute; Kansai; Japan	227
11648	University of Granada; Granada; Spain	226
6854	Millenium cohort study	225
12577	Meridian Life Science Inc.	225
2362	COGNISION	224
2699	University of Basel; Basel; Switzerland	224
6233	Rosalind	223
9764	Dartmouth Institute for Health Policy and Clinical Practice: Data and Analytic Core	223
8471	DNDi	222
8652	Scientific Review Committee	222
10550	National High Magnetic Field Laboratory	221
11386	Mayo Clinic Minnesota; Minnesota; USA	221
6453	Science Podcast	220
11427	National Polytechnic Institute; Mexico City; Mexico	220
2893	HIV Molecular Immunology Database	219
3782	Onyx Pharmaceuticals	218
11788	Witten/Herdecke University; North Rhine-Westphalia; Germany	218
3160	International Symposium on Objective Measures in Auditory Implants	217
5078	NASA: Earth Science Data	217
8751	GENOGRAM-MAKER	217
10314	Eligibility Feature Hierarchy	217
11168	CONICET	217
12426	MGH Microscopy Core	217
9483	GAMBIT	216
11769	Vrije Universiteit Brussel; Brussels; Belgium	215
9009	NIH / NCRR Mass Spectrometry Resource Washington University in St. Louis	213
11723	University of Texas Health Science Center Graduate School of Biomedical Sciences at Houston	212
381	University of Sydney; Sydney; Australia	211
2385	University of Amsterdam; Amsterdam; Netherlands	211
4466	Iowa State University Neuroscience Program	211
11299	INRA - French National Institute for Agricultural Research; Paris; France	211
11596	United States Department of Health and Human Services granting agency	211
13671	Care Connectivity Consortium	211
8946	National Longitudinal Mortality Study	210
11435	National Institute of Nursing Research	210
947	Aalto University; Espoo; Finland	209
1051	Duke Model System Genomics	209
4728	Bioreclamation	209
652	CENtral Science	208
8245	Toxics Release Inventory	208
11115	BHSAI; Maryland; USA	208
2876	Brazilian Ministry of Science Technology and Innovation	207
3925	BC Childrens Hospital Foundation	207
8575	Rules Based Medicine	207
8641	Transgenic Hydra Facility	207
6456	Congressionally Directed Medical Research Program	206
7148	B Braun Sharing Expertise	206
13137	HBP: Healthy Brain Project	206
1741	George Mason University: Krasnow Institute for Advanced Study	205
3887	University of Sherbrooke; Quebec; Canada	204
7719	HORDE - Human Olfactory Receptor Data Exploratorium	204
10554	UC San Diego School of Medicine / WebMD - Medscape Videoblogs	204
12886	USDA National Institute of Food and Agriculture	204
3898	ALTA	203
12419	BIOTREND Chemicals LLC	203
1702	nondetects	202
11638	University of Edinburgh College of Medicine and Veterinary Medicine; Scotland; United Kingdom	202
3293	SEER Datasets and Software	201
4548	Samaritan Health Services	201
8364	McConnell Brain Imaging Center	201
11018	Medical Research Council	201
683	Canadian Online CME Sites	200
4008	Lions Eye Institute for Transplant and Research	200
9004	National Bio-Organic Biomedical Mass Spectrometry Resource Center	200
679	Clinical Trials Registry - India	199
3324	Cornell University Neuroscience	199
1407	BraVa	198
7233	CEREP: In Vitro Pharmacology	198
7585	Combinatorial Extension (CE)	196
12155	LightCycler Software	196
10253	CORDIS	195
11142	Cayetano Heredia University; Lima; Peru	195
1623	Ancora	194
3107	Pliny	194
5050	Open PHACTS	194
12232	Vala Sciences	194
12350	NYU Anti-Infectives Screening and Insectary Core Facilities	194
3514	brainfacts.org	193
7450	Queens University at Kingston, Department of Pharmacology and Toxicology	193
11098	Aston University; Birmingham; United Kingdom	193
11480	Otto-von-Guericke University Magdeburg; Saxony-Anhalt; Germany	193
1061	Virginia Commonwealth University School of Medicine; Virginia; USA	192
1168	DiMO	192
6458	University of Perugia; Perugia; Italy	192
3924	TIDE BC	191
4171	British Columbia Gynaecologic Tissue Bank	191
11620	University of California at Los Angeles; California; USA	191
11660	University of Illinois at Chicago; Illinois; USA	191
3795	University of Geneva; Geneva; Switzerland	190
11196	Duquesne University; Pennsylvania; USA	190
11352	Louisiana State University Health Sciences Center Shreveport; Louisiana; USA	190
8943	National Long Term Care Survey	189
2856	mzR	188
3419	NAPPA	188
4050	Rockwell Medical	188
6431	Parkinson's Progression Markers Initiative	188
4060	W. L. Gore and Associates	187
11551	Swansea University; Swansea; United Kingdom	187
4076	Assembled Chaos	186
6551	American Society for Microbiology	184
7143	Lyngby	184
8754	NYU Alzheimer's Disease Center	184
3686	Hamilton Rating Scale for Depression	183
4324	Russia 2045: Brain Reverse Engineering Lab	183
5066	German Federal Ministry of Education and Research	182
11129	California State University Channel Islands; California; USA	182
11404	National Institute of Health and Medical Research; Rennes; France	182
12009	ISCB	182
12429	University of Arizona Genetics Core	182
6417	ALEA	181
11105	Autonomous University of Madrid; Madrid; Spain	181
11134	Canada Foundation for Innovation	180
11627	University of Copenhagen; Copenhagen; Denmark	180
12154	SMART JUNIOR	180
647	UCSF Brain Tumor Research Center Tissue Bank	179
1486	Multiple-Path Particle Dosimetry Model	179
12164	Lonza Viral Based Therapeutics	179
12684	WUSTL School of Medicine Center for Clinical Imaging Research	179
2453	Net Station EEG Software	178
5729	HOLLOW	178
6909	NCGC Pharmaceutical Collection	178
794	Community Health Sciences	177
3944	Simcyp	177
5418	BrainImmune	176
6564	NAGRP Bioinformatics Coordination Program	176
11398	Montclair State University; New Jersey; USA	176
2634	Memento	175
9596	Lumina LP- 400 Response System	175
3909	HipSci	174
4758	Pediatric Low Grade Astrocytoma Foundation	174
11158	Claude Bernard University Lyon 1; Lyon; France	173
5603	NIH Office of Science Education	172
12152	IITC Life Sciences Plantar Test Apparatus	172
1576	Benaroya Research Institute: Neurological Diseases	171
2988	ProRata	171
4308	Neuroscience News: Neuroscience Books	171
11202	East Tennessee State University Quillen College of Medicine	171
13744	Beijing Natural History Museum	171
7524	University of Oklahoma Health Sciences Center College of Pharmacy Graduate Programs	170
256	Pompeu Fabra University; Barcelona; Spain	169
11626	University of Connecticut School of Pharmacy	169
2636	OME-TIFF Format	167
4977	DermAtlas.	167
6183	Michael J. Fox Foundation for Parkinsons Research	167
7008	University of Wurzburg; Bavaria; Germany	166
12265	McGill SPR Facility	166
375	University of Texas at Dallas; Texas; USA	165
8904	Chinese Longitudinal Healthy Longevity Survey (CLHLS)	165
11038	Myongji University; Gyeonggi-do; South Korea	165
372	Tianjin University; Tianjin; China	164
2213	Antarctic Marine Geology Research Facility	164
2973	BMAP cDNA Resources	164
3781	PatientsLikeMe	164
11176	Division of cancer epidemiology and genetics	164
1064	University at Buffalo School of Medicine and Biomedical Sciences; New York; USA	163
10773	CUPSAT	163
3667	Panic and Agoraphobia Scale	162
4036	Otsuka America Pharmaceutical Inc.	162
6202	Bentham OPEN	162
12967	Critical Path Initiative	162
4661	USIDNET DNA and Cell Repository	161
11253	FRQS	161
246	Pierre and Marie Curie University; Paris; France	160
7100	University at Buffalo, Department of Behavioral Neuroscience	160
11564	Temple University School of Pharmacy	160
11753	Utrecht University; Utrecht; Netherlands	160
12043	CPFP	160
2370	Human Mortality Database	159
3137	Stereology Resource Center	159
4960	University of Leipzig; Saxony; Germany	159
12313	Superfund basic research program	159
3859	European Gram Negative AntiBacterial Engine	158
7458	Kent State University, Neuroscience	158
6509	Xiamen University; Xiamen; China	157
673	Southampton Tumour Bank	156
3798	Paleobiology Database	156
3808	Inserm Transfert	156
11122	BSRC Al. Fleming; East Attica; Greece	156
9390	SIMULA	155
11160	Cleveland Clinic Lerner College of Medicine; Ohio; USA	155
9929	MSM DNA Sequencing Laboratory	154
11742	University of Vigo; Galicia; Spain	154
12071	MOABS	154
12163	PerkinElmer Discovery Services	154
236	Neurotic Physiology	153
2587	FedBizOpps.gov: Federal Business Opportunities	153
12622	UHN Advanced Optical Microscopy Facility	153
11277	Hebrew University Hadassah Medical School; Jerusalem; Israel	152
11643	University of Georgia College of Pharmacy; Georgia; USA	152
645	Wake Forest Primate Center	151
1958	Virtual Genetics Education Centre	151
7062	Stanley Brain Collection	151
11608	University of Bern; Bern; Switzerland	151
11685	University of Montreal; Quebec; Canada	151
3664	Hamilton Anxiety Rating Scale	150
4089	Brighton Collaboration	150
4600	Neuroscience News	150
6114	University of Nice Sophia Antipolis; Nice; France	150
10497	Alkermes	150
11483	Paris Diderot University; Paris; France	150
6276	University of Otago; Dunedin; New Zealand	149
657	Lab Times	148
11402	Mount Allison University; New Brunswick; Canada	148
11717	University of Texas at Austin College of Pharmacy	148
12202	UCLA Clinical and Translational Research Laboratory	148
3749	Coca-Cola Company	147
11516	Sanford-Burnham Medical Research Institute	147
4581	MD Anderson Clone Bank	146
5067	SINA	146
8380	Chem Service, Inc.	146
8574	Royal Ontario Museum	146
11289	Hong Kong Polytechnic University; Hong Kong; China	146
996	University of Cambridge; Cambridge; United Kingdom	145
5451	German Rheumatism Research Centre Berlin; Berlin; Germany	145
8621	Single Nucleotide Polymorphism Spectral Decomposition (SNPSpD)	145
8788	Brain Facts	145
9123	BARS	145
12797	Chinese Academy of Sciences; Beijing; China	145
6616	University of Pisa; Pisa; Italy	144
13187	Akiyoshis illusion pages	144
1404	Resource Center for Medical Ultrasonic Transducer Technology	143
2613	WFU Biological Parametric Mapping Toolbox	143
3691	Cubist Pharmaceuticals	143
4375	FACIL	143
5997	ASL data processing tool box	143
12216	KSU AFM Imaging Group	143
13139	International Data Base	143
699	De Humani Corporis Fabrica	142
870	Children's Hospital Informatics Program	142
1320	affylmGUI	142
4062	Sierra Sensors	142
11165	Columbia University College of Physicians and Surgeons	142
11262	Hagedorn Research Institute; Gentofte; Denmark	141
11397	MKE - Ministry of Knowledge Economy	141
11611	University of Bonn; Bonn; Germany	141
12415	UD Animal and Food Sciences Department	141
3693	Anorectic Behavior Observation Scale	140
9268	Marker And Gene Interpolation and Correlation	140
11133	California Environmental Protection Agency	140
12167	UNC School of Medicine Animal Models Core	139
12325	UAlberta Cell Imaging Centre	139
5715	Biotechnology Center of the TU Dresden	138
11459	New York University School of Medicine; New York; USA	138
11762	Vienna University of Technology; Vienna; Austria	138
13104	U.S. Public Health Service Commissioned Corps	138
546	NEI Clinical Studies	137
3980	DaVita	137
4826	National Yang-Ming University; Taipei; Taiwan	137
5172	AVIA	137
10634	University of California San Diego School of Medicine; California; USA	137
11328	Jawaharlal Nehru University; New Delhi; India	137
11580	Tongji University; Shanghai; China	137
244	Pharmaceuticals and Medical Devices Agency	136
11586	U.S. Army Medical Research and Materiel Command	136
6075	ProQuest Dissertation Publishing	135
11376	Nanyang Technological University; Singapore; Singapore	135
6275	University of Oslo; Oslo; Norway	133
9776	Rotterdam Ophthalmic Institute; Rotterdam; Netherlands	133
3655	Speech Language Disorders Database	132
4504	Cryo-Save	132
6426	California National Primate Research Center	132
6540	University of Picardie Jules Verne; Amiens; France	132
12495	CU Boulder Institute for Behavioral Genetics	132
3720	European Multicenter Study about Spinal Cord Injury	131
7394	Academy of Finland	131
9651	GTRACT	131
9676	BIDMC Real-Time PCR Core	131
9857	Howard Imaging Core Facility: Molecular Imaging Laboratory	131
3120	ShARM	130
1864	Konrad Lorenz Institute for Evolution and Cognition Research; Altenberg; Austria	129
2683	OpenSim	129
11013	Precision Targeting Lab LLC	129
11	Leica DMRE Fluorescence Microscope	128
3114	University of Colorado Boulder; Colorado; USA	128
4146	International Anesthesia Research Society	128
6261	VisTrails	128
9853	Royal Netherlands Academy of Arts and Sciences; Amsterdam; Netherlands	128
10601	Fight SMA	128
795	Ronald M. Davis Tobacco Deposition and Trial Testimony Archive	127
1193	Peking University; Beijing; China	127
3617	NIH Toolbox Flanker Inhibitory Control and Attention Test	127
11623	University of California at Santa Barbara; California; USA	127
12247	Columbia Chemical Probe Synthesis Facility	127
12678	MGH Flow Cytometry Core	127
6702	National Diabetes Information Clearinghouse	126
605	USP Molecular Genetics and Bioinformatics Laboratory	125
4305	UAB Alzheimer's Disease Center	125
4387	Case Comprehensive Cancer Center	125
8544	Random.org	125
8975	Index Fungorum	125
11313	Jackson State University; Mississippi; USA	125
12942	German Cancer Research Center	125
13501	Drug ADME Associated Protein Database	125
4787	Division of clinical sciences	124
11745	University of Waikato; Hamilton; New Zealand	123
2448	UNC Joint Vector Laboratories	122
3696	Eating Disorder Inventory	122
11213	George Mason University; Virginia; USA	122
11422	National Institute of Biomedical Imaging and Bioengineering	122
11642	University of Florence; Florence; Italy	122
341	University of Zaragoza; Zaragoza; Spain	121
5037	CryoLife, Inc.	121
8714	Saint-Luc Tumour Bank	121
11026	Medical University Innsbruck; Innsbruck; Austria	121
11198	Ealing Hospital; London; United Kingdom	121
4937	Protocol Online - Your labs reference book	120
11164	Columbia University; New York; USA	120
11610	University of Bologna; Bologna; Italy	120
2346	Familial Hypertrophic Cardiomyopathy DNA Mutation Database	119
4863	University of Leeds; West Yorkshire; United Kingdom	119
6361	University of Oxford; Oxford; United Kingdom	119
11444	Ontario Ministry of Agriculture Food and Rural Affairs	119
12572	HMS Electron Microscopy Core Facility	119
174	NIH Toolbox Words-in Noise Test	118
1262	ipPCA	118
5458	Free University of Brussels; Brussels; Belgium	118
6576	Cochrane Central Register of Controlled Trials	118
6592	BoDD	118
11455	New Energy and Industrial Technology Development Organization	118
12794	Samuel Roberts Noble Foundation	118
3926	POLYMUN Scientific	117
8638	Tropical Disease Initiative	117
11687	University of Munster; North Rhine-Westphalia; Germany	117
11882	BioVLAB	117
1472	NIA Mouse cDNA Project Home Page	116
4622	CHDI Foundation	116
4773	University of Lausanne; Lausanne; Switzerland	116
1477	National Diabetes Education Program	115
2607	University of Athens; Athens; Greece	115
4799	Dresden University of Technology; Saxony; Germany	115
11649	University of Greifswald; Mecklenburg-Vorpommern; Germany	115
633	Phosphor Antibody Array Data Analysis	114
4043	IADRP	114
5070	AGORA	114
5627	e-Source: Behavioral and Social Sciences Research	114
5794	MetaGeneProfiler	114
6301	University of Oulu; Oulu; Finland	114
776	Transgenic Animal Model Core	113
1926	UCSD Cognitive Science: The Future of Cognitive Science	113
4195	Wright Medical Technology, Inc.	113
4424	Danish Multiple Sclerosis Center	113
4590	National Tsing Hua University; Hsinchu; Taiwan	113
4665	Living Legacy Foundation of Maryland	113
11128	California Polytechnic State University; California; USA	113
456	RegenBase	112
11519	Scripps Translational Science Institute	112
7261	American Thoracic Society	111
11002	OHSU Transgenic Mouse Models	111
12290	Yale Pathology Tissue Services	111
12359	UR Genomics Research Center	111
12531	Baker Mountain Research Corporation	111
4246	Kickstarter	110
3754	Innovative Medicines Initiative	109
6503	F1000 Posters	109
11621	University of California at Merced; California; USA	109
3973	Association for the Advancement of Medical Instrumentation	108
13593	LifeCell Corporation	108
4006	Towards novel translational safety biomarkers for adverse drug toxicity	107
11067	MQ Animal Behaviour Laboratory	107
12382	Tsinghua University Center of Biomedical Analysis	107
2240	edX	106
3530	Physico-Chemical Process	106
6667	Blox	106
11280	Heidelberg University; Baden-Wurttemberg; Germany	106
11639	University of Erlangen-Nuremberg; Bavaria; Germany	106
11761	Victor Chang Cardiac Research Institute; New South Wales; Australia	106
301	Penn Clinical Research Computing Unit	105
10678	SVF Foundation	105
11069	Beaumont Health System; Michigan; USA	105
11156	Clark Atlanta University; Georgia; USA	105
13312	WoRMS	105
2583	Brain lesion segmentation tool using SVM	104
3945	Sirius Analytical	104
9863	Howard Biostatistics Core	104
1158	CenterWatch	103
3774	Consortium for Reliability and Reproducibility	103
4395	Biomedical Research Program UCA	102
5285	SuperScent	102
8614	DISABKIDS	102
8962	Gazel Database	102
11481	Oxford Brookes University; Oxford; United Kingdom	102
12151	EA15: EasyView Dual Input Temperature Datalogger	102
10653	JCM	101
11017	Aldevron	101
11283	Illinois Institute of Technology; Illinois; USA	101
11441	National Institute on Minority Health and Health Disparities	101
11607	University of Bergen; Bergen; Norway	101
13495	Engineering and Physical Sciences Research Council	101
3394	NIH MRI Study of Normal Brain Development	100
3680	Informant Questionnaire on Cognitive Decline in the Elderly	100
3917	Bellvitge Biomedical Research Institute	100
4366	Office of Naval Research	100
8564	Public Health Resources Unit	100
10543	Royal Botanic Gardens Kew	100
13115	University of Wisconsin School of Pharmacy	100
1508	Type 1 Diabetes TrialNet	99
5214	University of Kuopio; Kuopio; Finland	99
9678	BIDMC X-ray Crystallography Core	99
11765	VINNOVA	99
3164	Allele Biotechnology	98
3633	NIH Toolbox Grip Strength Test	98
5457	VolumeRover	98
5509	Latin American Brain Mapping Network (LABMAN)	98
7833	University of Salamanca; Salamanca; Spain	98
11504	Rudjer Boskovic Institute; Zagreb; Croatia	98
12371	Microtech Lab	98
963	European Food Safety Authority	97
10313	Electrocardiography Ontology	96
12113	ReviSTER	96
1088	Monash University; Melbourne; Australia	95
2615	University of Auckland; Auckland; New Zealand	95
3407	NanoStriDE	94
6315	Woods Hole Oceanographic Institution; Massachusetts; USA	94
11288	Hong Kong Baptist University; Hong Kong; China	94
11420	National Institute of Agrobiological Sciences; Ibaraki; Japan	94
11647	University of Gothenburg; Gothenburg; Sweden	94
11889	Scotty	94
961	Ecole Polytechnique Federale de Lausanne; Lausanne; Switzerland	93
3687	Kutcher Adolescent Depression Scale	93
4465	South Dakota Lions Eye Bank	93
4995	M-pick	93
8707	Spanish National Tumour Bank Network	93
11096	Aristotle University of Thessaloniki; Thessaloniki; Greece	93
11515	Saint Petersburg Academic University; Saint Petersburg; Russia	93
852	CIFTI Connectivity File Format	92
1466	Collaborative Islet Transplant Registry	92
5691	Principe Felipe Research Centre; Valencia; Spain	92
11414	National Heart Lung and Blood Institute Office of the Director	92
960	Ecole Normale Superieure; Paris; France	91
1272	Benaroya Research Institute	91
3404	Marquette University, Neuroscience	91
5356	AIDS.gov	91
6088	Hereditary Disease Foundation	91
6816	University of Rostock; Mecklenburg-Vorpommern; Germany	91
7193	Belgian Co-Ordinated Collections Of Micro-Organisms: LMBP Plasmid and DNA Library Collection	91
9385	SIMLA	91
11739	University of Veterinary Medicine Vienna; Vienna; Austria	91
3	Sarah Cannon Research Institute; Tennessee; USA	90
717	Scripps Women's College, Neuroscience Department	90
4087	MPS Hamburg	90
4574	Southwest France Tumour Bank	90
4746	Fox Chase Biosample Repository Core Facility	90
9673	BIDMC Multi-Gene Transcriptional Profiling Core	90
11003	NETZSCH Thermal Analysis Applications Laboratory	90
11695	University of Southern California School of Pharmacy Graduate Programs	90
13728	ExtrAvidin FITC, Sigma-Aldrich	90
1391	PNEUMA	89
1860	THetA	89
4091	Synapse Research Management Partners	89
4183	Guthy-Jackson Repository for Neuromyelitis Optica	89
8910	FGDP	89
9632	NordicNeuroLab	89
12291	Chiral Polyamines	89
3623	NIH Toolbox Pattern Comparison Processing Speed Test	88
5585	DNA Chromatogram Explorer	88
7772	Mutation Database for Parkinsons Disease	88
10620	Science Exchange	88
11246	Free University of Berlin; Berlin; Germany	88
12792	University of California, San Francisco School of Pharmacy	88
202	GPS-Calpain Cleavage Detector	87
3890	SGC	87
5210	QUEST	87
8080	University of Siena; Tuscany; Italy	87
8266	Interventions Testing Program	87
10731	MIRA	87
11690	University of Natural Resources and Life Sciences; Vienna; Austria	87
17	Tablet	86
7649	University of Rennes 1; Rennes; France	86
10481	Alaska Ocean Observing System	86
11431	National Institute of Mental Health	86
12217	Brown Genomics Core Facility	86
12558	Genetica DNA Laboratories	86
1338	CALIB	85
3345	Duke University Trinity College of Arts and Sciences Undergraduate Neuroscience	85
4611	Tumorbank Bern	85
7241	Center for Biological and Compulational Learning Face Database	85
7249	CASPLab: Comet Assay Software Project Laboratory	85
10640	Microbiology Blog: The weblog for microbiologists	85
11085	Agency for Science Technology and Research	85
999	University of Melbourne; Victoria; Australia	84
2556	Bamboo DiRT	84
